Iteration,Discriminator Loss,Generator Loss
6550,1.297242,0.583531
6560,1.222307,0.526226
6570,1.237857,0.533261
6580,1.283045,0.585767
6590,1.353302,0.682625
6600,1.361517,0.677641
6610,1.334759,0.554348
6620,1.361757,0.661966
6630,1.483371,0.625474
6640,1.356191,0.676487
6650,1.294976,0.595112
6660,1.375978,0.666555
6670,1.389342,0.794773
6680,1.322079,0.569696
6690,1.373275,0.600605
6700,1.352842,0.652514
6710,1.356087,0.708111
6720,1.395473,0.589467
6730,1.274430,0.503493
6740,1.367330,0.674198
6750,1.330747,0.535599
6760,1.377817,0.630845
6770,1.346252,0.616102
6780,1.349681,0.576351
6790,1.342796,0.660895
6800,1.323467,0.586138
6810,1.359785,0.528983
6820,1.393948,0.841973
6830,1.326483,0.610844
6840,1.346705,0.614531
6850,1.414822,0.569729
6860,1.366911,0.532253
6870,1.335147,0.655061
6880,1.359514,0.472912
6890,1.363360,0.666951
6900,1.222810,0.564828
6910,1.314701,0.689359
6920,1.268611,0.582328
6930,1.295972,0.588750
6940,1.295080,0.610683
6950,1.370252,0.713839
6960,1.311575,0.472481
6970,1.248621,0.559968
6980,1.264826,0.609541
6990,1.221146,0.565220
7000,1.403296,0.542661
7010,1.364493,0.779460
7020,1.361469,0.647789
7030,1.325257,0.631910
7040,1.367591,0.752837
7050,1.327424,0.613051
7060,1.288319,0.540799
7070,1.369633,0.654974
7080,1.359828,0.713963
7090,1.336567,0.621671
7100,1.376627,0.479467
7110,1.327286,0.627133
7120,1.289242,0.568833
7130,1.210858,0.561083
7140,1.199083,0.535048
7150,1.239998,0.543750
7160,1.319938,0.637935
7170,1.246131,0.595118
7180,1.325658,0.738101
7190,1.300487,0.570004
7200,1.256796,0.574261
7210,1.285351,0.586676
7220,1.431958,0.524209
7230,1.323916,0.674510
7240,1.387029,0.965790
7250,1.281144,0.646818
7260,1.323834,0.637635
7270,1.371833,0.689737
7280,1.373670,0.717772
7290,1.273534,0.658388
7300,1.273873,0.535286
7310,1.351411,0.507341
7320,1.270331,0.652514
7330,1.279903,0.678329
7340,1.250854,0.597123
7350,1.365921,0.676398
7360,1.245015,0.537921
7370,1.382848,0.677197
7380,1.339059,0.729560
7390,1.421680,0.929102
7400,1.324391,0.643356
7410,1.284653,0.606357
7420,1.257112,0.614428
7430,1.216359,0.587118
7440,1.302314,0.513310
7450,1.302869,0.646075
7460,1.251680,0.579620
7470,1.318090,0.632652
7480,1.305596,0.550032
7490,1.293681,0.594884
7500,1.360393,0.643163
7510,1.470332,0.723243
7520,1.331033,0.530728
7530,1.251798,0.562909
7540,1.192248,0.543404
7550,1.311324,0.544080
7560,1.303551,0.583302
7570,1.378183,0.705181
7580,1.362181,0.483468
7590,1.374258,0.707632
7600,1.385819,0.710492
7610,1.315690,0.550704
7620,1.295256,0.609736
7630,1.381036,0.971250
7640,1.258476,0.395256
7650,1.288472,0.513030
7660,1.317237,0.660834
7670,1.379528,0.971939
7680,1.330101,0.621416
7690,1.362953,0.519414
7700,1.296422,0.875988
7710,1.301127,0.627919
7720,1.283661,0.611890
7730,1.291631,0.572083
7740,1.248251,0.635945
7750,1.251038,0.641007
7760,1.308121,0.669469
7770,1.220414,0.554374
7780,1.277570,0.620383
7790,1.235732,0.564073
7800,1.243176,0.789706
7810,1.328411,0.591748
7820,1.306401,0.655160
7830,1.387946,0.757438
7840,1.293941,0.687285
7850,1.281173,0.537886
7860,1.278129,0.737269
7870,1.337617,0.691615
7880,1.313075,0.633668
7890,1.311619,0.584658
7900,1.420948,0.937719
7910,1.296403,0.581511
7920,1.255407,0.558436
7930,1.231899,0.606854
7940,1.199829,0.540752
7950,1.229905,0.560392
7960,1.234000,0.596210
7970,1.380197,0.768221
7980,1.252924,0.599048
7990,1.359416,0.667685
8000,1.420340,0.747089
8010,1.350975,0.712085
8020,1.316887,0.719092
8030,1.297190,0.647420
8040,1.330591,0.698496
8050,1.320802,0.588007
8060,1.285919,0.620164
8070,1.357729,0.532464
8080,1.345078,0.644759
8090,1.291321,0.568287
8100,1.308596,0.592053
8110,1.386662,0.926902
8120,1.346378,0.930439
8130,1.187237,0.555942
8140,1.221897,0.560550
8150,1.326277,0.573804
8160,1.389553,0.464824
8170,1.388949,0.724506
8180,1.353119,0.319310
8190,1.286242,0.557650
8200,1.212284,0.548600
8210,1.366590,0.665306
8220,1.213564,0.581699
8230,1.282592,0.563079
8240,1.203222,0.491303
8250,1.230969,0.624462
8260,1.236658,0.525181
8270,1.218055,0.528520
8280,1.239681,0.643543
8290,1.452603,0.682469
8300,1.392149,0.773083
8310,1.344649,0.948599
8320,1.313608,0.680329
8330,1.351973,0.594260
8340,1.379204,0.622721
8350,1.152565,0.542269
8360,1.243779,0.495062
8370,1.370058,0.718205
8380,1.236204,0.594271
8390,1.312826,0.577012
8400,1.236745,0.592878
8410,1.213030,0.556500
8420,1.269538,0.381188
8430,1.637347,0.770870
8440,1.303051,0.571070
8450,1.302186,0.630232
8460,1.207195,0.493273
8470,1.258894,0.571645
8480,1.358206,0.623019
8490,1.444129,0.406026
8500,1.449571,0.714153
8510,1.363551,0.685995
8520,1.302338,0.551271
8530,1.268245,0.599759
8540,1.210225,0.517226
8550,1.257640,0.517798
8560,1.223149,0.504271
8570,1.291578,0.804772
8580,1.167461,0.621350
8590,1.186826,0.569287
8600,1.392305,0.607292
8610,1.635976,0.390305
8620,1.219574,0.536170
8630,1.437290,0.338873
8640,1.327358,0.725490
8650,1.301859,0.549354
8660,1.204054,0.612372
8670,1.326946,0.681657
8680,1.303782,0.433823
8690,1.311238,0.590596
8700,1.188954,0.545495
8710,1.281479,0.652738
8720,1.218828,0.572299
8730,1.321952,0.636753
8740,1.329750,0.709150
8750,1.407323,0.778322
8760,1.300199,0.660209
8770,1.403319,0.641356
8780,1.254892,0.566180
8790,1.333858,0.621231
8800,1.557221,0.269497
8810,1.360233,0.620594
8820,1.193344,0.524583
8830,1.196988,0.569851
8840,1.313515,0.541998
8850,1.199025,0.510874
8860,1.305146,0.491164
8870,1.435034,0.471654
8880,1.213194,0.575717
8890,1.435479,0.687052
8900,1.565975,0.734874
8910,1.266648,0.553178
8920,1.270012,0.621202
8930,1.492638,0.692894
8940,1.381130,0.490017
8950,1.212764,0.559645
8960,1.283985,0.727235
8970,1.205137,0.537503
8980,1.224267,0.584589
8990,1.243933,0.511454
9000,1.234774,0.602843
9010,1.205209,0.535351
9020,1.206437,0.589579
9030,1.209295,0.560457
9040,1.279779,0.543276
9050,1.597249,0.668720
9060,1.214927,0.434809
9070,1.295206,0.618242
9080,1.327232,0.671300
9090,1.364385,0.495543
9100,1.194457,0.565560
9110,1.387516,0.494778
9120,1.369193,0.507468
9130,1.305679,0.518275
9140,1.368724,0.375443
9150,1.250450,0.551591
9160,1.424265,0.734963
9170,1.157061,0.483206
9180,1.211259,0.472293
9190,1.214713,0.507684
9200,1.359233,0.571017
9210,1.293469,0.545258
9220,1.331231,0.691676
9230,1.401110,0.712037
9240,1.302158,0.585372
9250,1.249272,0.581902
9260,1.479225,0.395199
9270,1.267289,0.459034
9280,1.367880,0.782593
9290,1.302236,0.613111
9300,1.350811,0.561932
9310,1.327012,0.612445
9320,1.239410,0.480385
9330,1.253521,0.550088
9340,1.281692,0.584746
9350,1.491236,0.854489
9360,1.311508,0.577940
9370,1.285600,0.927509
9380,1.301400,0.601904
9390,1.333213,0.734674
9400,1.267178,0.522749
9410,1.195492,0.571797
9420,1.214652,0.565526
9430,1.195455,0.561111
9440,1.380914,0.712834
9450,1.251878,0.534964
9460,1.212583,0.569395
9470,1.234242,0.567879
9480,1.217038,0.564479
9490,1.232003,0.515881
9500,1.507758,0.464387
9510,1.265514,0.923767
9520,1.314802,0.546382
9530,1.301626,0.668470
9540,1.307554,0.549680
9550,1.328897,0.504764
9560,1.271361,0.531624
9570,1.255404,0.696046
9580,1.368341,0.603742
9590,1.487446,0.671271
9600,1.658603,0.368197
9610,1.313953,0.652307
9620,1.308503,0.682997
9630,1.293332,0.588246
9640,1.339835,0.657611
9650,1.301745,0.380103
9660,1.185298,0.986234
9670,1.223715,0.534052
9680,1.320849,0.590603
9690,1.273219,0.633736
9700,1.305984,0.645422
9710,1.256704,0.600224
9720,1.294916,0.495882
9730,1.279222,0.489818
9740,1.306142,0.601453
9750,1.310332,0.880103
9760,1.277878,0.652893
9770,1.338229,0.671361
9780,1.386912,0.662275
9790,1.411461,0.460748
9800,1.432957,0.465379
9810,1.469816,0.423147
9820,1.402453,0.670081
9830,1.254019,0.669909
9840,1.257866,0.583972
9850,1.375479,0.699733
9860,1.445401,0.701642
9870,1.616500,0.818301
9880,1.336953,0.558635
9890,1.386240,0.610028
9900,1.388456,0.856669
9910,1.301041,0.599561
9920,1.394150,0.339067
9930,1.344931,0.460677
9940,1.162237,0.551338
9950,1.257031,0.528977
9960,1.270201,0.651944
9970,1.189090,0.529377
9980,1.216433,0.568971
9990,1.249221,0.573957
10000,1.160205,0.534960
10010,1.372806,0.504446
10020,1.289839,0.606374
